code	species	d
1	abiebals	30
2	acerrubr	100
3	acersacc	100
4	betualle	100
5	betupapy	100
6	betupopu	100
7	fagugran	30
8	fraxamer	70
9	larilari	100
10	piceabie	60
11	piceglau	30
12	picemari	79
13	picerube	80
14	pinuresi	100
15	pinustro	60
16	popugran	1000
17	poputrem	1000
18	thujocci	45
19	tsugcana	30
